block,street_name,latitude,longitude,postal,onemap_address
504D,MONTREAL DR,1.45045843825508,103.823880958571,754504,504D MONTREAL DRIVE MONTREAL SPRING SINGAPORE 754504
108A,CANBERRA WALK,1.44776056626366,103.831274677849,751108,108A CANBERRA WALK EASTLAWN @ CANBERRA SINGAPORE 751108
108C,CANBERRA WALK,1.44735330149199,103.831796158318,753108,108C CANBERRA WALK EASTLAWN @ CANBERRA SINGAPORE 753108
126C,CANBERRA ST,1.44614061239177,103.834964649867,753126,126C CANBERRA STREET EASTDELTA @ CANBERRA SINGAPORE 753126
101A,CANBERRA ST,1.45173892803325,103.83045410628,751101,101A CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 751101
126D,CANBERRA ST,1.4465750273277,103.834792499436,754126,126D CANBERRA STREET EASTDELTA @ CANBERRA SINGAPORE 754126
126B,CANBERRA ST,1.44560242235984,103.835161882332,752126,126B CANBERRA STREET EASTDELTA @ CANBERRA SINGAPORE 752126
128A,CANBERRA ST,1.44572196543585,103.833276458051,751128,128A CANBERRA STREET EASTCROWN @ CANBERRA SINGAPORE 751128
128C,CANBERRA ST,1.44466202296921,103.833900949952,753128,128C CANBERRA STREET EASTCROWN @ CANBERRA SINGAPORE 753128
121C,CANBERRA ST,1.44744539468374,103.834503117404,753121,121C CANBERRA STREET EASTBANK @ CANBERRA SINGAPORE 753121
420,CANBERRA RD,1.45267974712812,103.818888937745,750420,420 CANBERRA ROAD SINGAPORE 750420
305,CANBERRA RD,1.44557039670297,103.822062555826,750305,305 CANBERRA ROAD SINGAPORE 750305
300,CANBERRA RD,1.44585216960767,103.822896239346,750300,300 CANBERRA ROAD SINGAPORE 750300
352C,CANBERRA RD,1.44983764720493,103.819822012552,753352,352C CANBERRA ROAD SINGAPORE 753352
120A,CANBERRA CRES,1.446140802959,103.832236151361,751120,120A CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 751120
119A,CANBERRA CRES,1.44604755101014,103.831125256006,751119,119A CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 751119
119B,CANBERRA CRES,1.44637013931729,103.831574876885,752119,119B CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 752119
120C,CANBERRA CRES,1.44707143643003,103.83280231533,753120,120C CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 753120
120B,CANBERRA CRES,1.44629377124154,103.83270384797,752120,120B CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 752120
120D,CANBERRA CRES,1.44676707236829,103.83229420147,754120,120D CANBERRA CRESCENT EASTWAVE @ CANBERRA SINGAPORE 754120
401,ADMIRALTY LINK,1.45427018021651,103.815812639222,750401,401 ADMIRALTY LINK SINGAPORE 750401
491,ADMIRALTY LINK,1.45611278902566,103.817716592062,NIL,491 ADMIRALTY LINK MY FIRST SKOOL
403,ADMIRALTY LINK,1.45391726002344,103.816130138927,750403,403 ADMIRALTY LINK SINGAPORE 750403
484,ADMIRALTY LINK,1.45707121613828,103.815308448775,750484,484 ADMIRALTY LINK SINGAPORE 750484
402,ADMIRALTY LINK,1.45389053873224,103.815769086937,750402,402 ADMIRALTY LINK SINGAPORE 750402
359A,ADMIRALTY DR,1.44966317668208,103.815544863508,751359,359A ADMIRALTY DRIVE SUN BLISS SINGAPORE 751359
356C,ADMIRALTY DR,1.44925221115986,103.817794617678,753356,356C ADMIRALTY DRIVE SUN BLISS SINGAPORE 753356
468C,ADMIRALTY DR,1.45030915760096,103.814877754821,753468,468C ADMIRALTY DRIVE BLUE RIVERVIEW SINGAPORE 753468
357A,ADMIRALTY DR,1.45004399363065,103.817003273639,751357,357A ADMIRALTY DRIVE SUN BLISS SINGAPORE 751357
360C,ADMIRALTY DR,1.4486749328363,103.814692191276,753360,360C ADMIRALTY DRIVE SUN BLISS SINGAPORE 753360
353A,ADMIRALTY DR,1.45053763016096,103.819135455324,751353,353A ADMIRALTY DRIVE SINGAPORE 751353
353C,ADMIRALTY DR,1.44975787431726,103.819449183568,753353,353C ADMIRALTY DRIVE SINGAPORE 753353
357B,ADMIRALTY DR,1.45024168257745,103.817316100829,752357,357B ADMIRALTY DRIVE SUN BLISS SINGAPORE 752357
508B,WELLINGTON CIRCLE,1.45262510110474,103.820909521779,752508,508B WELLINGTON CIRCLE WELLINGTON VIEW SINGAPORE 752508
508C,WELLINGTON CIRCLE,1.45288239563765,103.821431874269,753508,508C WELLINGTON CIRCLE WELLINGTON VIEW SINGAPORE 753508
509A,WELLINGTON CIRCLE,1.45308000905079,103.820743432328,751509,509A WELLINGTON CIRCLE WELLINGTON VIEW SINGAPORE 751509
508A,WELLINGTON CIRCLE,1.45251383070644,103.820519939603,751508,508A WELLINGTON CIRCLE WELLINGTON VIEW SINGAPORE 751508
474,SEMBAWANG DR,1.4507121028977,103.816543560672,750474,474 SEMBAWANG DRIVE SINGAPORE 750474
477,SEMBAWANG DR,1.45208461891806,103.816554224473,750477,477 SEMBAWANG DRIVE SINGAPORE 750477
314,SEMBAWANG DR,1.44369870028224,103.821192155791,750314,314 SEMBAWANG DRIVE SINGAPORE 750314
412,SEMBAWANG DR,1.45189061357974,103.818160670565,750412,412 SEMBAWANG DRIVE SINGAPORE 750412
463C,SEMBAWANG DR,1.45623509145475,103.814292200264,753463,463C SEMBAWANG DRIVE SEMBAWANG RIVERLODGE SINGAPORE 753463
